enrollment_id,student_id,course_id,enrollment_date,status
1,7632,253,2021-05-02,Dropped
2,3707,28,2022-12-15,Completed
3,4115,180,2024-08-30,Dropped
4,4685,9,2023-03-29,Completed
5,6130,64,2021-10-14,Completed
6,9061,54,2024-07-06,Completed
7,4624,174,2022-06-15,Active
8,2915,26,2022-05-22,Completed
9,326,156,2021-01-02,Active
10,1065,112,2022-09-27,Dropped
11,9985,250,2023-03-17,Active
12,2262,132,2022-12-16,Dropped
13,6264,283,2023-10-02,Dropped
14,1601,13,2022-10-16,Completed
15,416,145,2023-06-19,Dropped
16,9523,158,2024-07-09,Active
17,9577,92,2023-10-23,Active
18,9981,68,2023-10-27,Completed
19,3653,269,2023-08-29,Active
20,3566,254,2022-10-08,Active
21,7426,247,2024-08-07,Active
22,8013,300,2024-04-01,Active
23,9196,257,2024-09-14,Active
24,231,293,2021-08-06,Active
25,7199,208,2021-09-21,Dropped
26,6307,124,2025-01-18,Completed
27,8329,94,2024-08-03,Active
28,656,49,2024-10-15,Active
29,9898,48,2024-03-30,Completed
30,297,298,2022-01-27,Dropped
31,6770,257,2022-11-01,Active
32,3932,144,2024-05-23,Dropped
33,2668,254,2022-02-16,Completed
34,9735,68,2024-07-13,Dropped
35,5059,134,2023-04-30,Dropped
36,4335,106,2025-01-29,Dropped
37,9738,140,2022-08-03,Dropped
38,9884,243,2023-12-12,Active
39,4681,280,2021-05-24,Active
40,9868,26,2022-12-13,Completed
41,5640,153,2023-02-14,Active
42,6811,132,2021-06-24,Dropped
43,6690,210,2024-07-27,Completed
44,6099,187,2024-08-09,Completed
45,3666,215,2024-07-24,Completed
46,1806,26,2023-10-14,Completed
47,137,64,2023-09-06,Completed
48,968,41,2023-11-12,Active
49,2999,116,2022-07-01,Dropped
50,4941,214,2023-02-22,Completed
51,9200,296,2021-05-17,Active
52,3292,280,2023-08-31,Active
53,9682,233,2022-01-19,Completed
54,6510,238,2023-03-30,Completed
55,8525,144,2021-08-14,Dropped
56,2509,128,2021-08-19,Completed
57,6147,55,2021-05-20,Dropped
58,3693,113,2022-07-27,Dropped
59,5024,205,2022-03-31,Completed
60,925,21,2022-07-11,Dropped
61,4290,212,2022-07-10,Dropped
62,1561,297,2023-12-26,Dropped
63,243,271,2021-05-25,Completed
64,6277,160,2022-04-30,Dropped
65,2761,50,2021-08-03,Dropped
66,3010,53,2022-02-28,Active
67,989,57,2024-06-02,Dropped
68,849,198,2023-09-29,Completed
69,4200,193,2023-10-23,Dropped
70,839,104,2024-05-27,Active
71,7787,180,2023-04-17,Active
72,1500,113,2023-11-21,Dropped
73,9439,22,2024-09-27,Dropped
74,5013,31,2023-04-20,Active
75,6830,250,2022-09-12,Dropped
76,1282,227,2022-07-25,Dropped
77,5944,165,2022-08-14,Completed
78,8432,41,2022-11-24,Dropped
79,5316,226,2023-03-24,Dropped
80,6740,84,2022-12-24,Dropped
81,6174,216,2024-10-24,Completed
82,3170,18,2022-05-31,Dropped
83,9512,222,2024-11-04,Completed
84,1589,273,2024-07-20,Active
85,3732,77,2021-02-28,Completed
86,3517,25,2023-02-25,Completed
87,9260,17,2023-10-24,Completed
88,8284,235,2024-03-20,Completed
89,1494,153,2023-11-07,Active
90,482,265,2022-03-18,Active
91,2386,139,2024-02-06,Dropped
92,8751,235,2023-05-12,Completed
93,6334,48,2021-06-23,Active
94,2680,293,2023-11-25,Dropped
95,3467,105,2022-03-25,Completed
96,2013,209,2023-06-25,Dropped
97,9643,31,2021-02-11,Completed
98,1044,41,2023-09-09,Completed
99,5553,262,2021-02-24,Active
100,1714,275,2023-12-14,Active
101,4451,91,2024-09-21,Dropped
102,554,110,2023-12-27,Active
103,6673,298,2023-01-24,Active
104,3296,47,2024-06-01,Dropped
105,1831,46,2023-10-04,Completed
106,9844,115,2021-08-07,Active
107,550,116,2021-08-12,Dropped
108,240,10,2021-12-12,Completed
109,7774,291,2022-02-16,Completed
110,7587,17,2021-08-15,Dropped
111,7333,223,2024-11-25,Active
112,1326,299,2023-08-30,Completed
113,1182,102,2023-12-08,Completed
114,9348,32,2023-02-14,Active
115,1906,256,2022-09-14,Active
116,9912,21,2025-01-24,Completed
117,2128,300,2023-12-31,Active
118,4162,166,2021-07-10,Active
119,5212,300,2023-02-14,Active
120,5675,137,2024-09-19,Completed
121,9482,16,2024-01-29,Dropped
122,7908,286,2021-04-02,Active
123,5197,258,2023-11-11,Completed
124,8963,12,2021-08-03,Completed
125,868,260,2021-02-21,Dropped
126,9696,35,2021-10-08,Dropped
127,5407,7,2022-04-08,Completed
128,5443,153,2022-11-13,Active
129,6065,281,2021-04-02,Dropped
130,9170,30,2021-08-08,Completed
131,6056,161,2022-12-04,Dropped
132,1417,129,2024-06-18,Active
133,3234,131,2023-10-02,Dropped
134,4751,244,2023-07-25,Completed
135,4549,207,2022-03-29,Completed
136,7857,76,2021-10-07,Completed
137,4631,164,2021-06-21,Dropped
138,7664,232,2023-03-13,Active
139,649,147,2024-05-25,Active
140,1051,173,2022-02-03,Active
141,1393,130,2021-08-02,Active
142,4000,121,2021-08-13,Completed
143,3502,274,2024-07-23,Active
144,6522,151,2021-09-16,Dropped
145,8324,168,2022-10-21,Active
146,5192,115,2024-09-02,Dropped
147,915,218,2022-01-29,Active
148,7806,255,2022-05-05,Active
149,9005,5,2024-03-16,Active
150,3299,79,2024-01-02,Active
151,3661,259,2024-10-29,Completed
152,449,112,2024-02-23,Active
153,6959,157,2021-11-26,Completed
154,1070,47,2023-07-09,Dropped
155,9861,6,2023-12-11,Dropped
156,7528,168,2023-09-29,Completed
157,8087,238,2022-09-05,Completed
158,6332,87,2024-08-23,Active
159,6303,2,2024-08-17,Dropped
160,740,42,2021-01-08,Active
161,9674,182,2024-01-18,Completed
162,83,295,2021-06-29,Dropped
163,1783,167,2024-09-27,Active
164,2478,73,2023-09-09,Completed
165,689,107,2022-09-20,Dropped
166,4423,232,2023-12-24,Dropped
167,8293,25,2021-01-25,Completed
168,7534,90,2024-10-05,Dropped
169,4210,190,2023-09-10,Active
170,2870,204,2023-10-08,Completed
171,2784,271,2021-01-15,Completed
172,2800,27,2021-04-12,Dropped
173,881,33,2022-12-13,Completed
174,7089,194,2024-12-26,Dropped
175,599,250,2024-05-14,Completed
176,8905,135,2021-12-28,Dropped
177,5919,162,2022-03-02,Dropped
178,6507,45,2021-06-21,Completed
179,9000,146,2023-06-22,Dropped
180,8380,22,2022-09-27,Active
181,5805,244,2022-01-07,Completed
182,5551,268,2024-04-16,Completed
183,4932,49,2024-05-07,Completed
184,4361,171,2022-02-12,Completed
185,5210,250,2022-02-16,Dropped
186,4191,70,2023-02-14,Completed
187,1106,21,2024-05-12,Dropped
188,5927,275,2022-03-28,Dropped
189,3919,3,2023-01-21,Dropped
190,3885,281,2021-06-30,Dropped
191,9478,102,2023-07-13,Active
192,7851,181,2024-06-29,Dropped
193,9438,80,2024-10-21,Completed
194,1080,39,2022-09-10,Completed
195,9649,100,2022-08-17,Completed
196,2579,108,2023-03-15,Dropped
197,6764,185,2024-12-25,Dropped
198,9567,160,2021-11-28,Active
